SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016
0,0,3944153,3944160,3951400,3963239,3926677,3931346,3955374,3975414,3970145
0,1,3978070,3978090,3957847,3966617,3978101,3943114,3950083,3974980,3995008
0,2,4096929,4096939,4090856,3971363,3980016,3992752,3959663,3967361,3992154
0,3,4119040,4119051,4111929,4102483,3982920,3992660,4006960,3974468,3982074
0,4,4063170,4063186,4077557,4122286,4112795,3994261,4005464,4020276,3987656
0,5,4056858,4056872,4064668,4087725,4132182,4123377,4006157,4017851,4032515
0,6,4066381,4066412,4073030,4075014,4097594,4142405,4134879,4018078,4029655
0,7,4030579,4030594,4043061,4083248,4084860,4107844,4153950,4146894,4029991
0,8,4046486,4046497,4025611,4053203,4093177,4095312,4119668,4166268,4159114
0,9,4148353,4148369,4125437,4035726,4063137,4103576,4107164,4132039,4178524
0,10,4172541,4172559,4187071,4135600,4045727,4073174,4115125,4119192,4144019
0,11,4114415,4114443,4115530,4197442,4145830,4055791,4084781,4127249,4131222
0,12,4106243,4106261,4113300,4126058,4207825,4156117,4067624,4097134,4139558
0,13,4118013,4118055,4119682,4124117,4136417,4218330,4168220,4080286,4109703
0,14,4165982,4166059,4145632,4131365,4135100,4147720,4231211,4181718,4093731
0,15,4242820,4242946,4231028,4158745,4143587,4147913,4162368,4246545,4196991
0,16,4316139,4316311,4313286,4247243,4173913,4159425,4165959,4181112,4265224
0,17,4395295,4395475,4376407,4334715,4267497,4194307,4182504,4189894,4205001
0,18,4500855,4501114,4491039,4402314,4359267,4292350,4222452,4212000,4219303
0,19,4585234,4585701,4571446,4520374,4429502,4386041,4323095,4255159,4243480
0,20,4519129,4519556,4568556,4600082,4549299,4455171,4414839,4354994,4286221
0,21,4354294,4354603,4388011,4595751,4632091,4576467,4485014,4447589,4386854
0,22,4264642,4264946,4287052,4414922,4627624,4662411,4608409,4519547,4480904
0,23,4198571,4198859,4217265,4314336,4445938,4657481,4695401,4642738,4552952
0,24,4249363,4249609,4243665,4244062,4344395,4474254,4688655,4728158,4674097
0,25,4262350,4262583,4289478,4269377,4273314,4371049,4503549,4719496,4758352
0,26,4152305,4152598,4160848,4313095,4296944,4298532,4399152,4532871,4747254
0,27,4248869,4249132,4237061,4182693,4338583,4320870,4325335,4427128,4559206
0,28,4215249,4215502,4247556,4257260,4205805,4359801,4345399,4351416,4451507
0,29,4223076,4223292,4210289,4265566,4278428,4225884,4382736,4370257,4374565
0,30,4285668,4285877,4304240,4226236,4284200,4296976,4247424,4405493,4392155
0,31,3970218,3970416,4042523,4318206,4242648,4299800,4315162,4267318,4423807
0,32,3986847,3987041,3967595,4054627,4332496,4256360,4315291,4332277,4283076
0,33,3880150,3880318,3933561,3978569,4066769,4344069,4269822,4329691,4345786
0,34,3839216,3839372,3822177,3943111,3989690,4076608,4355895,4282754,4341535
0,35,3956434,3956625,3948307,3830867,3953030,3998675,4086736,4367169,4293125
0,36,3802087,3802236,3830173,3955311,3839366,3960293,4007544,4096359,4375562
0,37,3934445,3934593,3896738,3836038,3962698,3845836,3967800,4015990,4103498
0,38,4121880,4122089,4080191,3901443,3842299,3967898,3852397,3974705,4022119
0,39,4364796,4364949,4324431,4083872,3906179,3846558,3973283,3858423,3979601
0,40,4383274,4383450,4387422,4325793,4086908,3908816,3850420,3977677,3862150
0,41,4114985,4115155,4163453,4387044,4326868,4088310,3911177,3853479,3979596
0,42,4076104,4076260,4082680,4162236,4386710,4326339,4089389,3912741,3854553
0,43,4105105,4105285,4093818,4080679,4160812,4384223,4325148,4089323,3912307
0,44,4211496,4211684,4178475,4090929,4078498,4157698,4381580,4323516,4087645
0,45,4508868,4509044,4438519,4173758,4087335,4073990,4154195,4377887,4319616
0,46,4519761,4519941,4529662,4431889,4168201,4081478,4068996,4149426,4371961
0,47,4535265,4535450,4535435,4520891,4424247,4160861,4075408,4063164,4142964
0,48,4538796,4538968,4534623,4524499,4510978,4414422,4152637,4067651,4055074
0,49,4605901,4606060,4599052,4521855,4512624,4498982,4403729,4143028,4058008
0,50,4660295,4660457,4646173,4584205,4508226,4498414,4485852,4391373,4131293
0,51,4464631,4464779,4498946,4629674,4568073,4491581,4482565,4470327,4375892
0,52,4500846,4500963,4480553,4480962,4611348,4549245,4473975,4465015,4452636
0,53,4380354,4380489,4439369,4460771,4461316,4591114,4529730,4454675,4445605
0,54,4291999,4292120,4288430,4417840,4439682,4439818,4569682,4508344,4433630
0,55,4254709,4254809,4258912,4265544,4394872,4416084,4416607,4545706,4484565
0,56,4037513,4037601,4093098,4234900,4241439,4369039,4390359,4390730,4518758
0,57,3936386,3936450,3946493,4068026,4209330,4214800,4341653,4362765,4362807
0,58,3794928,3795015,3802427,3920357,4041728,4181097,4186454,4312240,4332953
0,59,3641269,3641349,3694252,3775251,3893122,4012582,4151422,4156414,4281025
0,60,3621131,3621214,3616717,3666330,3746805,3863062,3981811,4119213,4123968
0,61,3492596,3492656,3520135,3587726,3636628,3715549,3830690,3948057,4083962
0,62,3563182,3563260,3495096,3488982,3556466,3603778,3681926,3795468,3911429
0,63,3483884,3483943,3652191,3460888,3455711,3521850,3568459,3645118,3757382
0,64,2657131,2657194,2706085,3613935,3424958,3418824,3485362,3530698,3606295
0,65,2680761,2680815,2678549,2675487,3574018,3385607,3380573,3446076,3490890
0,66,2639141,2639209,2621368,2645977,2643355,3530104,3344564,3339313,3403647
0,67,2649365,2649426,2693756,2585996,2611398,2608128,3483712,3300329,3295266
0,68,2323672,2323736,2359875,2653822,2548172,2573532,2570846,3433103,3251936
0,69,2142324,2142381,2167891,2321696,2611623,2506965,2533657,2530425,3378344
0,70,2043121,2043178,2062640,2129506,2281767,2565681,2464812,2490968,2487211
0,71,1949323,1949391,1953659,2022822,2089816,2238271,2519482,2419980,2445650
0,72,1864275,1864324,1883870,1912276,1981432,2046255,2193946,2468806,2371252
0,73,1736960,1737022,1750358,1840027,1869135,1935930,2001665,2145188,2413647
0,74,1684487,1684563,1686056,1705542,1794455,1821787,1889452,1952834,2092487
0,75,1620077,1620158,1631934,1638642,1659102,1744541,1773553,1838751,1900211
0,76,1471070,1471157,1481734,1581312,1589417,1608179,1693713,1721065,1784266
0,77,1455330,1455414,1449231,1430796,1528921,1535602,1556359,1638329,1664566
0,78,1400123,1400205,1402238,1394555,1378285,1471805,1480901,1500034,1578915
0,79,1371195,1371312,1354969,1343699,1338166,1321072,1413829,1421668,1439937
0,80,1308511,1308608,1319785,1292440,1283349,1276943,1263166,1350946,1358260
0,81,1212865,1212976,1212658,1252509,1228116,1218245,1215270,1200879,1284298
0,82,1161421,1161546,1158406,1143978,1183618,1158980,1152792,1149073,1135109
0,83,1074809,1074941,1081498,1085428,1073792,1109524,1089519,1082525,1079082
0,84,985721,985854,987081,1005469,1011165,998599,1035483,1015487,1008890
0,85,914723,914871,915071,909500,928767,932262,924112,957077,938333
0,86,814211,814341,821595,835057,832061,848116,854822,845998,876190
0,87,712908,713046,721247,741611,756221,751569,769839,774601,766479
0,88,640619,640765,636686,643350,663883,675354,674556,689747,693882
0,89,537998,538160,546228,560168,568810,585320,599052,596866,610338
0,90,435563,435695,448343,473942,488077,494553,512207,523080,520906
0,91,344987,345128,344457,382720,406986,417442,426566,440576,449986
0,92,281389,281498,288846,289307,323058,342582,353943,360910,372625
0,93,216978,217087,219069,238086,240245,266751,285809,293925,300000
0,94,169449,169525,170779,176719,193888,194969,218095,233129,239313
0,95,129717,129792,131080,135074,140712,153987,156773,173997,186408
0,96,95223,95288,97165,101267,105440,108984,121100,123055,135797
0,97,68138,68168,68896,73289,77168,79980,83507,92533,94311
0,98,45900,45938,47034,50678,54532,57028,60060,62051,68972
0,99,32266,32289,32181,33638,36789,39288,41724,43726,44895
0,100,53364,53412,54410,57708,61835,66209,72227,77242,81896
0,999,308745538,308758105,309348193,311663358,313998379,316204908,318563456,320896618,323127513
1,0,2014276,2014278,2018452,2028508,2007778,2009739,2024727,2031434,2030478
1,1,2030853,2030861,2020314,2025550,2035529,2015844,2018990,2034449,2041158
1,2,2092198,2092202,2088681,2026876,2032045,2042772,2024077,2027629,2043022
1,3,2104550,2104555,2101279,2094296,2032416,2038018,2049546,2031153,2034666
1,4,2077550,2077556,2084315,2106325,2099286,2037829,2044177,2055986,2037529
1,5,2072094,2072102,2076580,2089453,2111312,2104520,2043760,2050404,2062134
1,6,2075319,2075330,2079419,2081835,2094494,2116426,2110347,2049818,2056414
1,7,2057076,2057082,2063150,2084370,2086552,2099450,2122075,2116229,2055665
1,8,2065453,2065459,2054465,2067976,2088986,2091378,2105020,2127884,2122016
1,9,2119696,2119702,2107045,2059267,2072600,2093771,2096966,2110878,2133694
1,10,2135996,2136007,2142170,2111871,2063896,2077229,2099241,2102705,2116601
1,11,2103264,2103284,2104807,2147097,2116591,2068554,2082768,2105060,2108491
1,12,2100145,2100156,2103663,2109757,2151882,2121388,2074274,2088779,2111065
1,13,2104914,2104932,2104956,2108893,2114756,2156948,2127422,2080622,2095103
1,14,2135543,2135596,2122922,2110738,2114265,2120322,2163455,2134293,2087472
1,15,2177022,2177104,2170456,2129454,2116754,2120636,2127798,2171311,2142150
1,16,2216034,2216153,2215044,2179005,2137273,2124881,2130091,2137627,2181141
1,17,2263153,2263294,2252860,2226647,2189684,2147966,2137191,2142867,2150416
1,18,2305473,2305664,2305748,2266538,2239358,2202606,2162874,2152871,2158502
1,19,2341984,2342296,2334923,2321391,2280835,2253364,2219002,2180749,2169637
1,20,2308319,2308579,2331859,2349816,2337230,2294153,2268252,2236375,2197366
1,21,2223198,2223396,2241111,2345255,2367881,2351086,2309234,2285580,2253024
1,22,2177797,2178023,2188222,2253185,2362201,2383328,2366562,2326670,2302042
