State,category,value,year
Alabama,TotalC,1931522.0,2010
Alaska,TotalC,653221.0,2010
Arizona,TotalC,1383531.0,2010
Arkansas,TotalC,1120632.0,2010
California,TotalC,7760629.0,2010
Colorado,TotalC,1513547.0,2010
Connecticut,TotalC,764970.0,2010
Delaware,TotalC,250212.0,2010
Florida,TotalC,4282673.0,2010
Georgia,TotalC,3100144.0,2010
Hawaii,TotalC,278046.0,2010
Idaho,TotalC,516120.0,2010
Illinois,TotalC,3955091.0,2010
Indiana,TotalC,2863396.0,2010
Iowa,TotalC,1499729.0,2010
Kansas,TotalC,1117631.0,2010
Kentucky,TotalC,1978527.0,2010
Louisiana,TotalC,4385758.0,2010
Maine,TotalC,415065.0,2010
Maryland,TotalC,1464503.0,2010
Massachusetts,TotalC,1416119.0,2010
Michigan,TotalC,2753536.0,2010
Minnesota,TotalC,1857095.0,2010
Mississippi,TotalC,1177620.0,2010
Missouri,TotalC,1910500.0,2010
Montana,TotalC,400855.0,2010
Nebraska,TotalC,860741.0,2010
Nevada,TotalC,645604.0,2010
New Hampshire,TotalC,294473.0,2010
New Jersey,TotalC,2395713.0,2010
New Mexico,TotalC,649962.0,2010
New York,TotalC,3723729.0,2010
North Carolina,TotalC,2685333.0,2010
North Dakota,TotalC,476072.0,2010
Ohio,TotalC,3824933.0,2010
Oklahoma,TotalC,1579910.0,2010
Oregon,TotalC,975067.0,2010
Pennsylvania,TotalC,3752280.0,2010
Rhode Island,TotalC,195314.0,2010
South Carolina,TotalC,1643912.0,2010
South Dakota,TotalC,378514.0,2010
Tennessee,TotalC,2247273.0,2010
Texas,TotalC,11687521.0,2010
Utah,TotalC,756012.0,2010
Vermont,TotalC,153697.0,2010
Virginia,TotalC,2483360.0,2010
Washington,TotalC,2031428.0,2010
West Virginia,TotalC,738821.0,2010
Wisconsin,TotalC,1791199.0,2010
Wyoming,TotalC,540122.0,2010
District of Columbia,TotalC,190529.0,2010
Alabama,TotalC,1905207.0,2011
Alaska,TotalC,653637.0,2011
Arizona,TotalC,1424944.0,2011
Arkansas,TotalC,1122544.0,2011
California,TotalC,7777115.0,2011
Colorado,TotalC,1470445.0,2011
Connecticut,TotalC,739130.0,2011
Delaware,TotalC,272568.0,2011
Florida,TotalC,4141711.0,2011
Georgia,TotalC,2982837.0,2011
Hawaii,TotalC,287113.0,2011
Idaho,TotalC,516978.0,2011
Illinois,TotalC,3937616.0,2011
Indiana,TotalC,2847188.0,2011
Iowa,TotalC,1498973.0,2011
Kansas,TotalC,1104843.0,2011
Kentucky,TotalC,1903208.0,2011
Louisiana,TotalC,4388867.0,2011
Maine,TotalC,413893.0,2011
Maryland,TotalC,1410012.0,2011
Massachusetts,TotalC,1397164.0,2011
Michigan,TotalC,2785212.0,2011
Minnesota,TotalC,1850749.0,2011
Mississippi,TotalC,1155456.0,2011
Missouri,TotalC,1856590.0,2011
Montana,TotalC,402355.0,2011
Nebraska,TotalC,862675.0,2011
Nevada,TotalC,632655.0,2011
New Hampshire,TotalC,292979.0,2011
New Jersey,TotalC,2411816.0,2011
New Mexico,TotalC,668675.0,2011
New York,TotalC,3611091.0,2011
North Carolina,TotalC,2558792.0,2011
North Dakota,TotalC,528508.0,2011
Ohio,TotalC,3792585.0,2011
Oklahoma,TotalC,1585212.0,2011
Oregon,TotalC,1002476.0,2011
Pennsylvania,TotalC,3725014.0,2011
Rhode Island,TotalC,185731.0,2011
South Carolina,TotalC,1601881.0,2011
South Dakota,TotalC,378470.0,2011
Tennessee,TotalC,2195401.0,2011
Texas,TotalC,11906249.0,2011
Utah,TotalC,794058.0,2011
Vermont,TotalC,150475.0,2011
Virginia,TotalC,2380922.0,2011
Washington,TotalC,2059630.0,2011
West Virginia,TotalC,726341.0,2011
Wisconsin,TotalC,1778018.0,2011
Wyoming,TotalC,556548.0,2011
District of Columbia,TotalC,183806.0,2011
Alabama,TotalC,1879716.0,2012
Alaska,TotalC,649341.0,2012
Arizona,TotalC,1395839.0,2012
Arkansas,TotalC,1067642.0,2012
California,TotalC,7564063.0,2012
Colorado,TotalC,1440781.0,2012
Connecticut,TotalC,725019.0,2012
Delaware,TotalC,273728.0,2012
Florida,TotalC,4029903.0,2012
Georgia,TotalC,2767491.0,2012
Hawaii,TotalC,280171.0,2012
Idaho,TotalC,510869.0,2012
Illinois,TotalC,3820547.0,2012
Indiana,TotalC,2770158.0,2012
Iowa,TotalC,1440053.0,2012
Kansas,TotalC,1075435.0,2012
Kentucky,TotalC,1868483.0,2012
Louisiana,TotalC,4255161.0,2012
Maine,TotalC,399670.0,2012
Maryland,TotalC,1368600.0,2012
Massachusetts,TotalC,1363282.0,2012
Michigan,TotalC,2687926.0,2012
Minnesota,TotalC,1816866.0,2012
Mississippi,TotalC,1143099.0,2012
Missouri,TotalC,1781978.0,2012
Montana,TotalC,395724.0,2012
Nebraska,TotalC,852984.0,2012
Nevada,TotalC,639190.0,2012
New Hampshire,TotalC,284490.0,2012
New Jersey,TotalC,2241207.0,2012
New Mexico,TotalC,666540.0,2012
New York,TotalC,3503309.0,2012
North Carolina,TotalC,2481060.0,2012
North Dakota,TotalC,552326.0,2012
Ohio,TotalC,3655849.0,2012
Oklahoma,TotalC,1561913.0,2012
Oregon,TotalC,975044.0,2012
Pennsylvania,TotalC,3623997.0,2012
Rhode Island,TotalC,183879.0,2012
South Carolina,TotalC,1558766.0,2012
South Dakota,TotalC,375950.0,2012
Tennessee,TotalC,2080953.0,2012
Texas,TotalC,11931169.0,2012
Utah,TotalC,790154.0,2012
Vermont,TotalC,130412.0,2012
Virginia,TotalC,2343908.0,2012
Washington,TotalC,2037127.0,2012
West Virginia,TotalC,720985.0,2012
Wisconsin,TotalC,1721543.0,2012
Wyoming,TotalC,550182.0,2012
District of Columbia,TotalC,172963.0,2012
Alabama,TotalC,1919365.0,2013
